,tconst,averageRating,numVotes
1081318,tt3358508,6.2,197
165744,tt0270219,6.4,197
32522,tt0052123,5.3,197
149951,tt0236502,3.2,197
606797,tt1270678,5.7,197
1025374,tt2877192,6.1,197
200423,tt0342707,6.0,197
44518,tt0065809,6.9,197
1403020,tt9121936,8.7,197
449034,tt0962744,7.5,197
1045515,tt30146840,7.0,197
916870,tt2222192,4.5,197
250457,tt0457452,5.9,197
67364,tt0092167,6.8,197
701059,tt14556112,6.2,197
559671,tt1176942,6.3,197
115958,tt0167336,5.8,197
792998,tt1699208,8.1,197
41785,tt0062677,5.7,197
63548,tt0087736,7.5,197
40659,tt0061350,6.5,197
180339,tt0297332,6.5,197
115987,tt0167379,2.8,197
209828,tt0364759,6.0,197
1399876,tt9060910,7.5,197
910632,tt21983200,6.6,197
243097,tt0439389,2.6,197
255755,tt0471386,6.5,197
916319,tt22188282,8.1,197
242683,tt0438314,3.8,197
789522,tt1686029,4.7,197
41152,tt0061933,6.2,197
141811,tt0218359,7.1,197
1254888,tt6068406,2.9,197
66284,tt0090895,5.9,197
629845,tt13154142,3.8,197
699690,tt14531632,5.5,197
440354,tt0933382,4.7,197
947256,tt2373648,4.7,197
790720,tt16918304,3.5,197
266446,tt0497976,5.5,197
1047712,tt3032312,6.5,197
29214,tt0048294,5.1,197
1055537,tt30956212,7.8,197
1398256,tt9035410,7.6,197
557776,tt1173670,3.2,197
629644,tt13150606,6.7,197
676351,tt1405808,5.5,197
488136,tt10504898,6.6,197
27764,tt0046584,8.1,197
951911,tt2390190,7.0,197
954241,tt2401037,6.5,197
483071,tt10423120,5.8,197
69335,tt0094434,7.2,197
42953,tt0064024,5.7,197
795653,tt1707394,5.9,197
160642,tt0259554,7.5,197
69624,tt0094769,4.2,197
16138,tt0032557,6.5,197
954618,tt24022460,4.7,197
483033,tt10422618,8.6,197
705125,tt14636114,5.7,197
1184793,tt4982252,2.2,197
796435,tt1710542,7.3,197
69926,tt0095097,6.9,197
113585,tt0163020,8.5,197
796779,tt1712531,5.4,197
175839,tt0288718,5.1,197
28171,tt0047089,7.2,197
1033714,tt2937692,5.3,197
42765,tt0063807,4.1,197
608951,tt12752158,1.3,197
30831,tt0050173,5.1,197
176676,tt0290238,6.4,197
87975,tt0116727,3.7,197
546678,tt11531324,5.7,197
1308114,tt7015964,3.0,197
656342,tt13644666,5.0,197
40387,tt0061034,5.2,197
62028,tt0085963,6.5,197
1261728,tt6168322,6.5,197
863390,tt2009826,5.7,197
112055,tt0159923,7.8,197
140795,tt0216467,7.6,197
1261005,tt6155478,6.1,197
1261205,tt6159156,5.5,197
400766,tt0808099,7.2,197
61691,tt0085571,5.6,197
180969,tt0298565,5.1,197
63502,tt0087679,5.7,197
58762,tt0082154,7.3,197
25331,tt0043670,6.8,197
156809,tt0251320,4.5,197
931692,tt2294589,5.3,197
